,,Total,2165,DIV 4,,,,,,DIV 7,,,,,,DIV 14,,,,,,DIV 21,,,,,,DIV 28,,,,,
Q8R010,Aminoacyl tRNA synthase complex-interacting multifunctional protein 2,Aimp2,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.5,1,#N/A,#N/A,#N/A,#N/A,0.5,0.5,0.5,0.5,0.5,1,0.5,1,0.5,0.5,#N/A,#N/A,0.5,0.5,#N/A,#N/A,#N/A,#N/A
Q9R0Y5,Adenylate kinase isoenzyme 1,Ak1,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.5,0.5,#N/A,#N/A,#N/A,#N/A,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,#N/A,#N/A,0.5,0.5,#N/A,#N/A,#N/A,#N/A
Q9WTP7,"GTP:AMP phosphotransferase AK3, mitochondrial",Ak3,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5,2,1,0.5,0.5,1,2,2,1,0.5,0.5
Q9WUR9,"Adenylate kinase 4, mitochondrial",Ak4,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2,0.5,1,0.5,1,1,0.5,1
Q9R0L7,A-kinase anchor protein 8-like,Akap8l,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.5,0.5,#N/A,#N/A,#N/A,#N/A,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,#N/A,#N/A,0.5,0.5,#N/A,#N/A,#N/A,#N/A
P10518,Delta-aminolevulinic acid dehydratase,Alad,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.5,0.5,#N/A,#N/A,#N/A,#N/A,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,#N/A,#N/A,0.5,0.5,#N/A,#N/A,#N/A,#N/A
P07724,Serum albumin,Alb,,5,6,4,6,4,6,4,11,4,14,4,10,1,4,5,10,5,16,0.5,4,3,7,5,6,3,4,3,4,3,4
Q61490,CD166 antigen,Alcam,,0.5,4,0.5,4,0.5,10,0.5,17,1,18,0.5,18,2,12,3,13,0.5,15,0.5,13,0.5,6,1,21,1,10,3,14,2,17
Q9Z110,Delta-1-pyrroline-5-carboxylate synthase,Aldh18a1,,0.5,0.5,0.5,0.5,0.5,0.5,2,1,0.5,0.5,1,0.5,5,3,2,3,2,1,1,1,5,3,0.5,0.5,2,1,2,0.5,2,1
P24549,Retinal dehydrogenase 1,Aldh1a1,,0.5,0.5,0.5,0.5,0.5,1,1,6,0.5,2,0.5,3,0.5,0.5,0.5,3,0.5,3,0.5,0.5,0.5,1,0.5,0.5,0.5,0.5,1,0.5,0.5,0.5
O35945,"Aldehyde dehydrogenase, cytosolic 1",Aldh1a7,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,4,0.5,2,0.5,1,0.5,0.5,0.5,3,0.5,2,0.5,0.5,0.5,1,0.5,0.5,0.5,0.5,1,0.5,0.5,0.5
Q9CZS1,"Aldehyde dehydrogenase X, mitochondrial",Aldh1b1,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2,0.5,0.5,0.5
Q8R0Y6,Cytosolic 10-formyltetrahydrofolate dehydrogenase,Aldh1l1,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2,0.5,0.5,0.5,0.5,0.5,1,0.5,0.5,0.5,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
P47738,"Aldehyde dehydrogenase, mitochondrial",Aldh2,,0.5,0.5,0.5,0.5,0.5,0.5,1,9,0.5,0.5,1,0.5,8,3,3,3,0.5,5,10,4,8,5,2,1,7,3,7,1,3,3
Q9EQ20,"Methylmalonate-semialdehyde dehydrogenase [acylating], mitochondrial",Aldh6a1,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5,2,0.5
Q9DBF1,Alpha-aminoadipic semialdehyde dehydrogenase,Aldh7a1,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5,1,0.5,0.5,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Q8BH00,Aldehyde dehydrogenase family 8 member A1,Aldh8a1,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Q9JLJ2,4-trimethylaminobutyraldehyde dehydrogenase,Aldh9a1,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2,0.5,2,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
P05064,Fructose-bisphosphate aldolase A,Aldoa,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,8,21,0.5,0.5,0.5,0.5,3,15,0.5,0.5,1,0.5,0.5,0.5,1,0.5,0.5,1
P05063,Fructose-bisphosphate aldolase C,Aldoc,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2,8,0.5,0.5,0.5,0.5,0.5,7,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5,0.5,0.5
Q9DBE8,"Alpha-1,3/1,6-mannosyltransferase ALG2",Alg2,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.5,0.5,#N/A,#N/A,#N/A,#N/A,1,0.5,0.5,0.5,1,0.5,1,1,2,1,#N/A,#N/A,1,1,#N/A,#N/A,#N/A,#N/A
Q07456,Protein AMBP,Ambp,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.5,0.5,#N/A,#N/A,#N/A,#N/A,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,#N/A,#N/A,0.5,0.5,#N/A,#N/A,#N/A,#N/A
Q8C8R3,Ankyrin-2,Ank2,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.5,0.5,#N/A,#N/A,#N/A,#N/A,0.5,0.5,0.5,0.5,0.5,0.5,1,2,0.5,0.5,#N/A,#N/A,0.5,0.5,#N/A,#N/A,#N/A,#N/A
Q810B6,Rabankyrin-5,Ankfy1,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.5,0.5,#N/A,#N/A,#N/A,#N/A,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,#N/A,#N/A,1,0.5,#N/A,#N/A,#N/A,#N/A
Q5F259,Ankyrin repeat domain-containing protein 13B,Ankrd13b,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.5,0.5,#N/A,#N/A,#N/A,#N/A,0.5,0.5,0.5,0.5,1,0.5,0.5,0.5,0.5,0.5,#N/A,#N/A,0.5,0.5,#N/A,#N/A,#N/A,#N/A
O35381,Acidic leucine-rich nuclear phosphoprotein 32 family member A,Anp32a,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,3,0.5,0.5,0.5,1,0.5,0.5,0.5,4,0.5,1,0.5,0.5,0.5,1,0.5,0.5,0.5,0.5,1,0.5,0.5,0.5
Q9EST5,Acidic leucine-rich nuclear phosphoprotein 32 family member B,Anp32b,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.5,2,#N/A,#N/A,#N/A,#N/A,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,#N/A,#N/A,0.5,0.5,#N/A,#N/A,#N/A,#N/A
P97822,Acidic leucine-rich nuclear phosphoprotein 32 family member E,Anp32e,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,5,0.5,0.5,0.5,1,0.5,0.5,0.5,3,0.5,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5,0.5,0.5,0.5
Q9CZ52,Anthrax toxin receptor 1,Antxr1,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2,0.5,1,0.5,2,0.5,1,0.5,0.5,0.5,0.5,0.5,3,0.5,1
P10107,Annexin A1,Anxa1,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.5,0.5,#N/A,#N/A,#N/A,#N/A,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,#N/A,#N/A,0.5,1,#N/A,#N/A,#N/A,#N/A
P97384,Annexin A11,Anxa11,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.5,0.5,#N/A,#N/A,#N/A,#N/A,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5,#N/A,#N/A,0.5,0.5,#N/A,#N/A,#N/A,#N/A
P07356,Annexin A2,Anxa2,,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5,3,2,0.5,0.5,3,4,6,1,0.5,0.5
P97429,Annexin A4,Anxa4,,0.5,0.5,0.5,0.5,0.5,1,0.5,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
P48036,Annexin A5,Anxa5,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.5,0.5,#N/A,#N/A,#N/A,#N/A,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,#N/A,#N/A,0.5,0.5,#N/A,#N/A,#N/A,#N/A
P14824,Annexin A6,Anxa6,,0.5,1,0.5,0.5,0.5,7,0.5,1,0.5,4,0.5,3,0.5,0.5,0.5,1,0.5,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2
Q07076,Annexin A7,Anxa7,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.5,0.5,#N/A,#N/A,#N/A,#N/A,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5,#N/A,#N/A,0.5,0.5,#N/A,#N/A,#N/A,#N/A
O54754,Aldehyde oxidase 1,Aox1,,0.5,1,0.5,0.5,0.5,1,0.5,3,0.5,2,0.5,2,0.5,0.5,0.5,0.5,0.5,0.5,2,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Q5SGK3,Aldehyde oxidase 2,Aox2,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.5,0.5,#N/A,#N/A,#N/A,#N/A,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,#N/A,#N/A,0.5,0.5,#N/A,#N/A,#N/A,#N/A
P22892,AP-1 complex subunit gamma-1,Ap1g1,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.5,0.5,#N/A,#N/A,#N/A,#N/A,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,#N/A,#N/A,0.5,0.5,#N/A,#N/A,#N/A,#N/A
P35585,AP-1 complex subunit mu-1,Ap1m1,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5,1,0.5,0.5,0.5,0.5,0.5,1,0.5,0.5,0.5
P17426,AP-2 complex subunit alpha-1,Ap2a1,,0.5,0.5,0.5,0.5,0.5,1,2,6,1,2,0.5,0.5,8,5,3,4,5,4,8,9,14,11,3,2,5,5,9,4,3,5
P17427,AP-2 complex subunit alpha-2,Ap2a2,,0.5,0.5,0.5,0.5,0.5,0.5,2,4,0.5,5,0.5,1,3,10,2,3,1,3,3,3,11,6,1,2,4,4,5,1,0.5,6
Q9DBG3,AP-2 complex subunit beta,Ap2b1,,0.5,0.5,0.5,0.5,0.5,1,1,9,0.5,2,0.5,1,5,10,2,5,1,4,2,8,3,5,5,4,2,5,4,5,0.5,5
P84091,AP-2 complex subunit mu,Ap2m1,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,3,0.5,4,0.5,0.5,10,9,6,6,5,6,5,7,9,9,7,10,7,9,9,8,7,10
P62743,AP-2 complex subunit sigma,Ap2s1,,0.5,0.5,0.5,0.5,0.5,1,0.5,0.5,0.5,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5,1,1,0.5,0.5,2,0.5,0.5,2
Q9Z1T1,AP-3 complex subunit beta-1,Ap3b1,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.5,0.5,#N/A,#N/A,#N/A,#N/A,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,#N/A,#N/A,0.5,0.5,#N/A,#N/A,#N/A,#N/A
Q9JME5,AP-3 complex subunit beta-2,Ap3b2,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2,0.5,5,0.5,0.5,3,2,1,1,0.5,2,0.5,1,1,0.5,0.5,4,1,0.5,1,0.5,0.5,1
O54774,AP-3 complex subunit delta-1,Ap3d1,,2,0.5,0.5,0.5,0.5,0.5,15,22,0.5,7,1,2,11,6,4,10,11,17,7,3,7,4,9,8,9,4,12,5,4,9
Q9JKC8,AP-3 complex subunit mu-1,Ap3m1,,0.5,0.5,0.5,0.5,0.5,0.5,1,1,0.5,0.5,0.5,0.5,1,0.5,0.5,1,0.5,0.5,0.5,0.5,0.5,2,0.5,0.5,0.5,0.5,1,0.5,0.5,0.5
Q8R2R9,AP-3 complex subunit mu-2,Ap3m2,,0.5,0.5,0.5,0.5,0.5,0.5,1,1,0.5,0.5,0.5,0.5,1,0.5,0.5,1,0.5,0.5,0.5,0.5,1,1,1,1,0.5,0.5,0.5,0.5,0.5,0.5
Q9DCR2,AP-3 complex subunit sigma-1,Ap3s1,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5,1,0.5,0.5,1,1,1,0.5,0.5,0.5,1,1,1,0.5,0.5,1,0.5,0.5,1,0.5,0.5,0.5
P28352,DNA-(apurinic or apyrimidinic site) lyase,Apex1,,5,0.5,3,4,0.5,1,3,3,5,1,5,4,0.5,0.5,0.5,2,1,1,1,1,1,0.5,2,0.5,0.5,0.5,2,0.5,2,3
O35841,Apoptosis inhibitor 5,Api5,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.5,0.5,#N/A,#N/A,#N/A,#N/A,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,#N/A,#N/A,0.5,0.5,#N/A,#N/A,#N/A,#N/A
Q06335,Amyloid-like protein 2,Aplp2,,0.5,0.5,0.5,0.5,0.5,10,0.5,6,0.5,18,0.5,9,0.5,1,0.5,6,0.5,8,0.5,2,0.5,3,0.5,11,0.5,2,0.5,3,0.5,12
Q00623,Apolipoprotein A-I,Apoa1,,1,1,0.5,1,0.5,1,1,1,1,1,0.5,1,0.5,0.5,0.5,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5,1,0.5,1,0.5,1
P08226,Apolipoprotein E,Apoe,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,1,0.5,0.5,1,1,3,5,2,3,1,4,3,4,1,3,0.5,5
Q78IK4,MICOS complex subunit Mic27,Apool,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.5,0.5,#N/A,#N/A,#N/A,#N/A,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,#N/A,#N/A,0.5,0.5,#N/A,#N/A,#N/A,#N/A
P12023,Amyloid-beta A4 protein,App,,0.5,0.5,0.5,0.5,0.5,11,0.5,7,0.5,15,0.5,8,0.5,2,0.5,5,0.5,15,0.5,4,0.5,2,0.5,11,0.5,2,0.5,2,0.5,4
P08030,Adenine phosphoribosyltransferase,Aprt,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.5,0.5,#N/A,#N/A,#N/A,#N/A,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,1,0.5,#N/A,#N/A,0.5,0.5,#N/A,#N/A,#N/A,#N/A
P55088,Aquaporin-4,Aqp4,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5,0.5,0.5,0.5,0.5,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,3,0.5,0.5
Q5XJY5,Coatomer subunit delta,Arcn1,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,1,0.5,0.5,0.5,0.5,0.5,3,2,0.5,0.5,1,1,2,0.5,0.5,0.5
P61205,ADP-ribosylation factor 3,Arf3,,1,0.5,0.5,0.5,1,2,4,5,2,2,2,2,11,12,6,7,7,4,8,7,12,8,7,4,12,14,8,6,5,6
P61750,ADP-ribosylation factor 4,Arf4,,1,0.5,0.5,0.5,0.5,1,1,2,1,1,1,1,8,7,3,5,3,3,7,7,11,8,3,4,9,11,5,4,2,3
P84084,ADP-ribosylation factor 5,Arf5,,1,0.5,0.5,0.5,0.5,1,3,4,1,1,1,1,10,9,4,5,5,4,9,8,14,7,7,3,13,15,8,6,2,4
P62331,ADP-ribosylation factor 6,Arf6,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.5,0.5,#N/A,#N/A,#N/A,#N/A,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5,0.5,2,#N/A,#N/A,0.5,0.5,#N/A,#N/A,#N/A,#N/A
Q3UL36,Arginine and glutamate-rich protein 1,Arglu1,,0.5,0.5,0.5,0.5,0.5,0.5,2,0.5,2,0.5,0.5,0.5,4,3,2,1,1,0.5,4,2,3,4,0.5,0.5,2,0.5,3,0.5,0.5,0.5
Q80YF9,Rho GTPase-activating protein 33,Arhgap33,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.5,1,#N/A,#N/A,#N/A,#N/A,0.5,0.5,0.5,0.5,1,0.5,0.5,0.5,0.5,0.5,#N/A,#N/A,0.5,0.5,#N/A,#N/A,#N/A,#N/A
P61211,ADP-ribosylation factor-like protein 1,Arl1,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.5,0.5,#N/A,#N/A,#N/A,#N/A,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,#N/A,#N/A,1,1,#N/A,#N/A,#N/A,#N/A
Q9JM93,ADP-ribosylation factor-like protein 6-interacting protein 4,Arl6ip4,,0.5,0.5,0.5,0.5,1,1,0.5,0.5,0.5,1,0.5,0.5,2,2,1,1,0.5,0.5,2,2,1,0.5,0.5,0.5,0.5,2,5,4,0.5,0.5
Q8VEH3,ADP-ribosylation factor-like protein 8A,Arl8a,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.5,1,#N/A,#N/A,#N/A,#N/A,3,3,3,4,0.5,1,0.5,2,1,2,#N/A,#N/A,3,2,#N/A,#N/A,#N/A,#N/A
Q9CQW2,ADP-ribosylation factor-like protein 8B,Arl8b,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5,2,0.5,0.5,4,2,3,4,1,1,0.5,3,2,3,1,3,4,3,3,1,1,1
Q9R0Q6,Actin-related protein 2/3 complex subunit 1A,Arpc1a,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.5,0.5,#N/A,#N/A,#N/A,#N/A,0.5,2,0.5,0.5,0.5,0.5,0.5,1,0.5,0.5,#N/A,#N/A,0.5,0.5,#N/A,#N/A,#N/A,#N/A
Q9JM76,Actin-related protein 2/3 complex subunit 3,Arpc3,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,2,0.5,0.5,0.5,0.5,0.5,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1
P59999,Actin-related protein 2/3 complex subunit 4,Arpc4,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,3,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5,0.5,0.5
Q9CPW4,Actin-related protein 2/3 complex subunit 5,Arpc5,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.5,0.5,#N/A,#N/A,#N/A,#N/A,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5,0.5,#N/A,#N/A,0.5,0.5,#N/A,#N/A,#N/A,#N/A
P98203,Armadillo repeat protein deleted in velo-cardio-facial syndrome homolog,Arvcf,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.5,0.5,#N/A,#N/A,#N/A,#N/A,1,0.5,0.5,1,0.5,0.5,0.5,0.5,0.5,1,#N/A,#N/A,0.5,0.5,#N/A,#N/A,#N/A,#N/A
C0HK79,Adipocyte-related X-chromosome expressed sequence 1,Arxes1,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.5,0.5,#N/A,#N/A,#N/A,#N/A,0.5,1,0.5,0.5,1,1,0.5,0.5,1,1,#N/A,#N/A,0.5,0.5,#N/A,#N/A,#N/A,#N/A
Q6NXK8,Acid-sensing ion channel 1,Asic1,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.5,0.5,#N/A,#N/A,#N/A,#N/A,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,#N/A,#N/A,0.5,0.5,#N/A,#N/A,#N/A,#N/A
Q91YI0,Argininosuccinate lyase,Asl,,0.5,0.5,0.5,0.5,0.5,1,0.5,5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,3,0.5,3,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Q61137,Astrotactin-1,Astn1,,0.5,0.5,0.5,0.5,0.5,5,0.5,25,0.5,26,0.5,14,0.5,23,0.5,21,0.5,31,0.5,20,0.5,24,0.5,36,0.5,24,0.5,33,0.5,21
Q80Z10,Astrotactin-2,Astn2,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5,1,0.5,0.5,0.5,2,0.5,3,0.5,2,0.5,1,0.5,6,0.5,1,0.5,1,0.5,3,0.5,0.5
P59598,Putative Polycomb group protein ASXL1,Asxl1,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.5,0.5,#N/A,#N/A,#N/A,#N/A,0.5,0.5,0.5,0.5,0.5,1,0.5,0.5,0.5,0.5,#N/A,#N/A,0.5,0.5,#N/A,#N/A,#N/A,#N/A
Q9D5T0,ATPase family AAA domain-containing protein 1,Atad1,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.5,0.5,#N/A,#N/A,#N/A,#N/A,0.5,0.5,0.5,0.5,0.5,1,0.5,0.5,0.5,0.5,#N/A,#N/A,0.5,0.5,#N/A,#N/A,#N/A,#N/A
Q925I1,ATPase family AAA domain-containing protein 3,Atad3,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,3,1,2,1,0.5,0.5,4,0.5,6,0.5,6,1,2,0.5,3,0.5,1,1
Q8K341,Alpha-tubulin N-acetyltransferase 1,Atat1,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.5,0.5,#N/A,#N/A,#N/A,#N/A,2,0.5,0.5,0.5,0.5,1,0.5,1,0.5,1,#N/A,#N/A,0.5,1,#N/A,#N/A,#N/A,#N/A
Q8BH66,Atlastin-1,Atl1,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5,0.5,1,0.5,0.5,1,0.5,0.5,0.5
Q91YH5,Atlastin-3,Atl3,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.5,0.5,#N/A,#N/A,#N/A,#N/A,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,#N/A,#N/A,0.5,0.5,#N/A,#N/A,#N/A,#N/A
Q8VDN2,Sodium/potassium-transporting ATPase subunit alpha-1,Atp1a1,,0.5,14,0.5,13,0.5,19,0.5,25,0.5,39,0.5,25,3,32,1,29,3,36,3,44,1,41,9,57,2,47,11,72,12,64
Q6PIE5,Sodium/potassium-transporting ATPase subunit alpha-2,Atp1a2,,0.5,9,0.5,9,0.5,13,0.5,26,0.5,24,0.5,18,5,58,1,50,4,49,4,48,3,44,8,47,2,49,11,77,12,67
Q6PIC6,Sodium/potassium-transporting ATPase subunit alpha-3,Atp1a3,,0.5,11,0.5,12,0.5,23,0.5,39,0.5,53,0.5,35,7,50,1,43,5,60,6,67,3,48,12,79,3,61,13,95,18,99
Q9WV27,Sodium/potassium-transporting ATPase subunit alpha-4,Atp1a4,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.5,9,#N/A,#N/A,#N/A,#N/A,2,10,0.5,9,1,12,2,13,2,18,#N/A,#N/A,0.5,19,#N/A,#N/A,#N/A,#N/A
P14094,Sodium/potassium-transporting ATPase subunit beta-1,Atp1b1,,0.5,2,0.5,2,0.5,6,0.5,7,0.5,10,0.5,6,1,5,0.5,6,0.5,6,2,8,2,8,3,10,3,7,2,17,3,11
P14231,Sodium/potassium-transporting ATPase subunit beta-2,Atp1b2,,0.5,0.5,0.5,0.5,0.5,1,0.5,0.5,0.5,2,0.5,0.5,0.5,5,0.5,5,0.5,4,0.5,5,0.5,4,0.5,3,0.5,4,0.5,7,0.5,3
P97370,Sodium/potassium-transporting ATPase subunit beta-3,Atp1b3,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5,1,0.5,2,0.5,1,0.5,1,0.5,1,0.5,1,0.5,2,0.5,0.5
O55143,Sarcoplasmic/endoplasmic reticulum calcium ATPase 2,Atp2a2,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,4,0.5,1,1,0.5,0.5,1,4,2,2,0.5,0.5,2,1,5,0.5,0.5,0.5
G5E829,Plasma membrane calcium-transporting ATPase 1,Atp2b1,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5,1,1,1,0.5,0.5,0.5,3,1,5,0.5,1,1,10,6,1,0.5,4,0.5,14
Q03265,"ATP synthase subunit alpha, mitochondrial",Atp5a1,,11,7,10,14,11,11,17,13,20,13,18,15,30,17,23,18,33,19,42,24,37,22,45,22,42,25,42,31,46,39
P56480,"ATP synthase subunit beta, mitochondrial",Atp5b,,1,0.5,2,0.5,0.5,0.5,3,2,2,0.5,9,4,14,12,7,8,9,7,12,12,14,11,17,10,11,8,16,13,25,18
Q91VR2,"ATP synthase subunit gamma, mitochondrial",Atp5c1,,1,0.5,1,2,0.5,0.5,2,2,6,1,5,4,7,4,4,4,6,4,7,5,9,13,10,4,10,8,10,5,11,7
P56382,"ATP synthase subunit epsilon, mitochondrial",Atp5e,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,1,3,2,1,0.5,1,0.5
Q9CQQ7,"ATP synthase F(0) complex subunit B1, mitochondrial",Atp5f1,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5,0.5,0.5,2,1,0.5,1
